"","source","target","weight"
"26611","1787_Heinse,Johann_Ardinghello_Novel_85000.txt",266,0.395108232246642
"26612","1787_Heinse,Johann_Ardinghello_Novel_86000.txt",266,0.314989002192736
"2095","1787_Heinse,Johann_Ardinghello_Novel_87000.txt",209,0.206365875612218
"1952","1788_Naubert,Benedikte_HermannvonUnna_Novel_10000.txt",31,0.246133684841916
"31","1788_Naubert,Benedikte_HermannvonUnna_Novel_103000.txt",31,0.381177987425299
"1955","1788_Naubert,Benedikte_HermannvonUnna_Novel_104000.txt",31,0.23529709793539
"311","1788_Naubert,Benedikte_HermannvonUnna_Novel_108000.txt",31,0.283008461454928
"1962","1788_Naubert,Benedikte_HermannvonUnna_Novel_115000.txt",31,0.325345365156595
"312","1788_Naubert,Benedikte_HermannvonUnna_Novel_116000.txt",31,0.207923021327023
"1965","1788_Naubert,Benedikte_HermannvonUnna_Novel_119000.txt",31,0.469447098739982
"313","1788_Naubert,Benedikte_HermannvonUnna_Novel_120000.txt",31,0.276368870893879
"1967","1788_Naubert,Benedikte_HermannvonUnna_Novel_121000.txt",31,0.600961151240056
"1968","1788_Naubert,Benedikte_HermannvonUnna_Novel_122000.txt",31,0.436528689008688
"1969","1788_Naubert,Benedikte_HermannvonUnna_Novel_123000.txt",31,0.622353372876876
"1970","1788_Naubert,Benedikte_HermannvonUnna_Novel_126000.txt",31,0.405400676979043
"314","1788_Naubert,Benedikte_HermannvonUnna_Novel_129000.txt",31,0.261767200786468
"315","1788_Naubert,Benedikte_HermannvonUnna_Novel_130000.txt",31,0.332741790171722
"1974","1788_Naubert,Benedikte_HermannvonUnna_Novel_14000.txt",31,0.211384774826568
"1976","1788_Naubert,Benedikte_HermannvonUnna_Novel_16000.txt",31,0.560633044582798
"316","1788_Naubert,Benedikte_HermannvonUnna_Novel_17000.txt",31,0.348067361456817
"317","1788_Naubert,Benedikte_HermannvonUnna_Novel_19000.txt",31,0.2866539150062
"318","1788_Naubert,Benedikte_HermannvonUnna_Novel_20000.txt",31,0.241114993439882
"1985","1788_Naubert,Benedikte_HermannvonUnna_Novel_30000.txt",31,0.414311781845745
"1986","1788_Naubert,Benedikte_HermannvonUnna_Novel_31000.txt",31,0.412699931221356
"319","1788_Naubert,Benedikte_HermannvonUnna_Novel_32000.txt",31,0.40277909076557
"1987","1788_Naubert,Benedikte_HermannvonUnna_Novel_33000.txt",31,0.581141680842105
"1988","1788_Naubert,Benedikte_HermannvonUnna_Novel_34000.txt",31,0.306626708778054
"1989","1788_Naubert,Benedikte_HermannvonUnna_Novel_35000.txt",31,0.367219584951155
