topic.no,no.tokens,no.docs,no.novels,heterogeneity,avg.date,sd.date,coherence.total,sim.score,tokens.per,docs.per,novels.per,het.per,avg.date.per,sd.date.per,coherence.per,sim.per
81,270270,114,1,0,1855,0,135.5721424918,0.7806451329,45,90,2,2,63,2,60,62
82,337501,40,11,0.275,1813,17,69.6073945717,0.7647803793,84,50,63,27,22,47,6,44
83,364329,29,10,0.4482758621,1831,37,141.3043197441,0.7459403628,92,32,58,42,42,92,69,21
85,328568,99,1,0,1771,0,96.9867446572,0.813682254,79,87,2,2,1,2,19,93
86,226706,70,3,0.0285714286,1846,3,137.9009915708,0.8084507958,21,74,16,11,56,18,64,89
87,261605,50,2,0.04,1857,2,110.472894085,0.8015589087,39,60,9,13,66,16,30,83
88,353164,119,7,0.5210084034,1827,9,91.5912096332,0.7327427919,90,91,41,50,38,32,16,8
89,201146,75,3,0.24,1909,5,94.8182714466,0.7387315675,13,76,16,25,97,23,18,13
90,405063,19,11,0.7894736842,1819,33,45.2498039629,0.7534374669,100,13,63,84,30,83,3,31
91,287906,36,20,0.7777777778,1866,35,133.0474697964,0.7344827601,54,46,94,81,77,88,54,9
93,261101,27,16,0.7407407407,1812,19,142.5878325871,0.7408463897,37,25,83,74,21,51,70,16
94,283454,48,6,0.1458333333,1852,12,134.3511133642,0.7679852098,51,59,35,22,60,38,57,45
95,277673,34,6,0.1470588235,1881,27,97.2202696835,0.8037782433,48,42,35,22,87,69,20,85
96,358840,82,7,0.3292682927,1803,14,85.8273456347,0.7708836893,91,79,42,31,16,42,13,50
97,191167,12,8,0.6666666667,1815,37,113.0505136841,0.7826846587,9,6,47,63,24,93,33,64
98,331926,39,21,0.8205128205,1867,32,126.2568476949,0.757228271,81,49,95,90,80,81,46,36
99,376177,165,5,0.4363636364,1864,10,112.4088512731,0.7942109331,95,96,31,41,74,34,33,75
100,395459,42,9,0.3333333333,1847,14,90.3295597888,0.7501717533,99,55,52,32,57,42,15,28
101,273018,12,10,0.75,1820,32,127.9063384741,0.7465190009,47,7,58,75,33,81,48,22
102,264377,218,2,0.004587156,1864,1,164.753432593,0.7896749352,42,99,9,7,74,10,87,72
103,240300,71,7,0.0845070423,1792,9,127.2297389596,0.7850989794,28,74,42,17,7,32,47,68
104,230422,49,1,0,1855,0,104.0160984219,0.7794460241,23,60,3,3,64,3,26,60
105,282867,41,12,0.512195122,1869,31,144.7451222395,0.7797881687,50,52,69,49,82,78,73,60
106,283107,46,14,0.6304347826,1900,27,155.6611202436,0.742584792,50,57,79,59,95,69,80,18
107,194903,91,5,0.4175824176,1868,5,111.3642777189,0.8063835379,11,85,31,39,81,23,31,88
108,335342,59,13,0.6610169492,1909,10,115.4990669754,0.7735109739,83,68,73,63,97,34,36,52
109,378756,42,24,0.7142857143,1875,38,89.874948224,0.7480920307,97,55,99,71,86,93,14,24
110,318855,118,2,0.0254237288,1932,0,131.6633988565,0.8014025922,75,91,10,11,100,3,53,82
111,227524,34,7,0.2352941176,1817,28,181.3303234287,0.800036071,22,43,43,24,28,71,95,81
112,242548,7,5,0.7142857143,1871,26,31.2983348994,0.7479733408,29,1,32,71,83,66,1,23
113,256959,32,18,0.84375,1874,32,169.6101771023,0.7497371686,34,38,89,94,85,81,90,27
114,318167,87,3,0.4252873563,1850,8,135.1405566887,0.7943706288,74,82,17,39,60,30,58,76
116,335218,42,14,0.6428571429,1800,16,102.4100810978,0.73717396,83,56,79,61,14,46,24,12
117,215729,26,10,0.6923076923,1794,19,158.9296852453,0.7426168003,18,23,59,66,8,51,82,19
118,282188,88,5,0.5681818182,1816,16,125.518433164,0.7740930674,49,83,32,55,26,46,44,53
119,233142,88,8,0.4659090909,1816,10,139.3837428983,0.7410378546,25,83,47,44,27,35,65,16
120,290331,34,15,0.7352941176,1852,41,136.5594936266,0.7628295919,57,43,82,74,61,95,61,42
121,324181,61,7,0.1639344262,1796,6,112.2933096693,0.8051058079,78,69,43,23,10,26,32,86
122,241772,32,17,0.84375,1828,27,135.4744528747,0.7619083803,28,38,86,94,39,70,59,41
123,244785,32,14,0.75,1831,28,139.9059044618,0.7447358634,31,39,79,75,43,72,66,20
124,218072,57,2,0.0175438596,1855,1,158.1143033914,0.8046572473,19,66,10,8,64,11,82,86
125,345031,144,6,0.6944444444,1801,4,119.1528043894,0.824519435,87,94,35,66,14,22,39,96
126,347275,50,4,0.1,1891,10,110.0320838602,0.795601578,88,61,26,19,91,35,29,78
127,252935,27,19,0.8148148148,1860,48,147.005551518,0.7604519259,33,25,93,89,70,99,75,40
128,301259,47,3,0.0425531915,1777,6,134.116767522,0.7689266872,64,59,17,13,2,26,56,47
129,247023,15,9,0.8,1876,35,67.7143554475,0.788926261,31,9,52,86,87,88,5,71
130,328656,28,17,0.8571428571,1874,35,97.1546121764,0.7794635093,80,29,86,97,85,89,20,60
