"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"245",245,"1881_0052200.txt","1881_0016200.txt",23.1807633340578,300,300,0,0,120,63.4
"246",246,"1881_0052500.txt","1881_0034800.txt",23.1241501837402,300,300,0,0,59,59.05
"248",248,"1881_0052800.txt","1881_0024900.txt",29.6800434601494,300,300,0,0,93,55.6
"249",249,"1881_0053100.txt","1881_0034800.txt",21.2349351597997,300,300,0,0,61,55.6
"251",251,"1881_0053400.txt","1881_0006600.txt",20.6051349094468,300,300,0,0,156,61.75
"253",253,"1881_0053700.txt","1881_0033900.txt",22.027086649325,299,300,-0.00334448160535117,0.00334448160535117,66,62.65
"255",255,"1881_0054000.txt","1881_0025500.txt",22.7980998194241,300,300,0,0,95,68.55
"256",256,"1881_0054300.txt","1881_0054000.txt",35.0746505667705,300,300,0,0,1,69.05
"257",257,"1881_0054600.txt","1881_0025500.txt",29.8848290872209,300,300,0,0,97,71.2
"258",258,"1881_0054900.txt","1881_0054000.txt",34.3486136904108,300,300,0,0,3,74.6
"259",259,"1881_0055200.txt","1881_0054900.txt",31.9631212902198,300,300,0,0,1,74
"260",260,"1881_0055500.txt","1881_0055200.txt",35.8173010522327,300,300,0,0,1,80.3
"261",261,"1881_0055800.txt","1881_0055200.txt",34.4981414758667,300,300,0,0,2,77.35
"263",263,"1881_0056100.txt","1881_0055800.txt",34.8928951639455,297,300,-0.0101010101010101,0.0101010101010101,1,76.35
"264",264,"1881_0056400.txt","1881_0019200.txt",23.9917921948927,300,300,0,0,124,77.8
"265",265,"1881_0056700.txt","1881_0002700.txt",28.8613774350955,300,300,0,0,180,74.55
"266",266,"1881_0057000.txt","1881_0021300.txt",16.3009138271756,300,300,0,0,119,69.85
"267",267,"1881_0057300.txt","1881_0021600.txt",15.3134885441389,300,300,0,0,119,70.65
"269",269,"1881_0057600.txt","1881_0020100.txt",23.5795666288553,300,299,0.00334448160535117,0.00334448160535117,125,72.7
"270",270,"1881_0057900.txt","1881_0037200.txt",21.2513064061985,300,299,0.00334448160535117,0.00334448160535117,69,72.75
"272",272,"1881_0058200.txt","1881_0025800.txt",28.2770633724857,300,300,0,0,108,75.65
"273",273,"1881_0058500.txt","1881_0003000.txt",23.0238341373052,300,300,0,0,185,82.3
"275",275,"1881_0058800.txt","1881_0048600.txt",29.4840121051205,300,300,0,0,34,86.55
"277",277,"1881_0059100.txt","1881_0046800.txt",40.1072745196932,300,300,0,0,41,86.55
"278",278,"1881_0059400.txt","1881_0003900.txt",34.0653529346684,300,300,0,0,185,86.1
"280",280,"1881_0059700.txt","1881_0059400.txt",31.2337272443729,300,300,0,0,1,77.15
