word,count.a,count.b,med.a,med.b,p,diff
fear,1841,1760,0.0010862119,0.0007669905,0.0001620879,0.0003192214
idea,1077,864,0.0006179066,0.0003053485,2.18652657063175e-07,0.0003125582
admir,977,980,0.0006210805,0.0003130993,3.7931743407711e-07,0.0003079812
stair,559,463,0.000302754,0,1.47917110355897e-09,0.000302754
joy,775,625,0.0004928363,0.0001934611,3.62303164291285e-06,0.0002993753
gone,1254,1158,0.0007656454,0.0004671439,5.03171845903562e-07,0.0002985015
leav,1908,2166,0.0013232342,0.0010247429,0.0006781764,0.0002984913
almost,1841,1834,0.001081704,0.0007848682,0.0001121911,0.0002968359
eager,884,695,0.0005294332,0.0002333971,6.87956007988327e-08,0.0002960361
delight,927,883,0.0005945237,0.000303977,6.56181457678463e-07,0.0002905466
