"","date","means","variable","date.adj"
"exclam30","1898",0.00439182597142857,"exclam",1933
"exclam.line30","1898",Inf,"exclam.line",1933
"period30","1898",0.0342858088428571,"period",1933
"period.line30","1898",Inf,"period.line",1933
"comma30","1898",0.0778520884761905,"comma",1933
"comma.line30","1898",Inf,"comma.line",1933
"total30","1898",0.139548406952381,"total",1933
"total.line30","1898",Inf,"total.line",1933
"total.words31","1899",287.756097560976,"total.words",1934
"no.lines31","1899",41.9926829268293,"no.lines",1934
"quest31","1899",0.00386970129268293,"quest",1934
"quest.line31","1899",0.0277635163902439,"quest.line",1934
"exclam31","1899",0.00969786069756098,"exclam",1934
"exclam.line31","1899",0.0651316113658537,"exclam.line",1934
"period31","1899",0.0403630602292683,"period",1934
"period.line31","1899",0.281420085756098,"period.line",1934
"comma31","1899",0.076099111902439,"comma",1934
"comma.line31","1899",0.540899741073171,"comma.line",1934
"total31","1899",0.142188343317073,"total",1934
"total.line31","1899",0.995903523365854,"total.line",1934
"total.words32","1900",120.972727272727,"total.words",1935
"no.lines32","1900",16.8727272727273,"no.lines",1935
"quest32","1900",0.00237071767272727,"quest",1935
"quest.line32","1900",0.0171193242727273,"quest.line",1935
"exclam32","1900",0.00232901931818182,"exclam",1935
"exclam.line32","1900",0.0166310491818182,"exclam.line",1935
"period32","1900",0.0270491773,"period",1935
"period.line32","1900",0.186967747,"period.line",1935
"comma32","1900",0.084179587,"comma",1935
"comma.line32","1900",0.60025485,"comma.line",1935
"total32","1900",0.126344213636364,"total",1935
"total.line32","1900",0.897347021818182,"total.line",1935
"total.words33","1901",159.115894039735,"total.words",1936
"no.lines33","1901",26.1440397350993,"no.lines",1936
"quest33","1901",0.00438859785761589,"quest",1936
"quest.line33","1901",0.0256875115993377,"quest.line",1936
"exclam33","1901",0.00211880933443709,"exclam",1936
"exclam.line33","1901",0.0113896840331126,"exclam.line",1936
"period33","1901",0.0468855763344371,"period",1936
"period.line33","1901",0.288158678609272,"period.line",1936
"comma33","1901",0.0838847983112583,"comma",1936
"comma.line33","1901",0.539125290860927,"comma.line",1936
"total33","1901",0.150952557615894,"total",1936
"total.line33","1901",0.947771805960265,"total.line",1936
"total.words34","1902",117.444292549556,"total.words",1937
"no.lines34","1902",21.3824333561176,"no.lines",1937
"quest34","1902",0.00723005305126452,"quest",1937
"quest.line34","1902",0.0421588555092276,"quest.line",1937
"exclam34","1902",0.00849883740601504,"exclam",1937
"exclam.line34","1902",0.0410176666985646,"exclam.line",1937
"period34","1902",0.0510801401244019,"period",1937
"period.line34","1902",0.291560516056049,"period.line",1937
"comma34","1902",0.0649648391312372,"comma",1937
"comma.line34","1902",0.398584247682843,"comma.line",1937
"total34","1902",0.140340084490089,"total",1937
"total.line34","1902",0.826746635604921,"total.line",1937
"total.words35","1903",41.3239436619718,"total.words",1938
"no.lines35","1903",7.23239436619718,"no.lines",1938
"quest35","1903",0.0100525951830986,"quest",1938
"quest.line35","1903",0.0540073776056338,"quest.line",1938
"exclam35","1903",0.00345948732394366,"exclam",1938
"exclam.line35","1903",0.0179577464788732,"exclam.line",1938
"period35","1903",0.0583828828169014,"period",1938
"period.line35","1903",0.315307635211268,"period.line",1938
"comma35","1903",0.0678340184507042,"comma",1938
"comma.line35","1903",0.366827720704225,"comma.line",1938
"total35","1903",0.145575882676056,"total",1938
"total.line35","1903",0.783049170422535,"total.line",1938
"total.words36","1904",179.596153846154,"total.words",1939
"no.lines36","1904",28.625,"no.lines",1939
"quest36","1904",0.00520146615384615,"quest",1939
"quest.line36","1904",0.0352049589423077,"quest.line",1939
"exclam36","1904",0.00371420033365385,"exclam",1939
"exclam.line36","1904",0.0237030233269231,"exclam.line",1939
"period36","1904",0.0456100341826923,"period",1939
"period.line36","1904",0.298993835384615,"period.line",1939
"comma36","1904",0.0829045537596154,"comma",1939
"comma.line36","1904",0.55758105125,"comma.line",1939
"total36","1904",0.150229931096154,"total",1939
"total.line36","1904",1.00094543471154,"total.line",1939
"total.words37","1905",324.034246575342,"total.words",1940
"no.lines37","1905",56.3616438356164,"no.lines",1940
"quest37","1905",0.00282846291054795,"quest",1940
"quest.line37","1905",0.0177563093136986,"quest.line",1940
"exclam37","1905",0.00100145011712329,"exclam",1940
"exclam.line37","1905",0.0057235296630137,"exclam.line",1940
"period37","1905",0.0443284133246575,"period",1940
"period.line37","1905",0.279538123849315,"period.line",1940
"comma37","1905",0.0682265228054795,"comma",1940
"comma.line37","1905",0.438833501273973,"comma.line",1940
"total37","1905",0.123084217017808,"total",1940
"total.line37","1905",0.787217217219178,"total.line",1940
"total.words38","1906",288.924019607843,"total.words",1941
"no.lines38","1906",43.4436274509804,"no.lines",1941
"quest38","1906",0.00493053942892157,"quest",1941
"quest.line38","1906",0.0346848177205882,"quest.line",1941
"exclam38","1906",0.000761495822058824,"exclam",1941
"exclam.line38","1906",0.00618900890686274,"exclam.line",1941
"period38","1906",0.0523071458946078,"period",1941
"period.line38","1906",0.386481694166667,"period.line",1941
"comma38","1906",0.0890559252696078,"comma",1941
"comma.line38","1906",0.695083671691176,"comma.line",1941
"total38","1906",0.161901953995098,"total",1941
"total.line38","1906",1.23262617671569,"total.line",1941
"total.words39","1907",381.875252525253,"total.words",1942
"no.lines39","1907",49.5785353535354,"no.lines",1942
"quest39","1907",0.0046130891590404,"quest",1942
"quest.line39","1907",0.0338540020974747,"quest.line",1942
