X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
159,79500,0.6165254237,0.0001368855,0.041322314,0.0004790993,0.1219008264,0.2857142857,0.3389830508
160,80000,0.6133056133,5.00813822461e-05,0.0244897959,0.0003088352,0.0857142857,0.1621621622,0.2857142857
161,80500,0.5909090909,0.00039595,0.0702811245,0.0006787714,0.1485943775,0.5833333333,0.472972973
162,81000,0.5738045738,7.12854348015e-05,0.0298210736,0.0010138373,0.2326043738,0.0703125,0.1282051282
163,81500,0.5717255717,0.0001282565,0.044,0.0010420842,0.272,0.1230769231,0.1617647059
164,82000,0.5495867769,9.69673462462e-05,0.0341365462,0.0006787714,0.1345381526,0.1428571429,0.2537313433
165,82500,0.5811088296,0.0002164329,0.052,0.0006813627,0.164,0.3176470588,0.3170731707
166,83000,0.5942622951,0.0001866035,0.0623742455,0.0005192445,0.1488933602,0.359375,0.4189189189
167,83500,0.5178197065,0.0001858541,0.0602409639,0.0013817847,0.2751004016,0.134502924,0.2189781022
168,84000,0.6036217304,0.0001948999,0.0611439842,0.0009355193,0.1873767258,0.2083333333,0.3263157895
169,84500,0.6506024096,0.0001885903,0.0455445545,0.0003614647,0.1207920792,0.5217391304,0.3770491803
170,85000,0.6469387755,4.82893497839e-05,0.0200400802,0.0009496905,0.1823647295,0.0508474576,0.1098901099
171,85500,0.5870020964,0.0002135155,0.0587044534,0.0007390922,0.2024291498,0.2888888889,0.29
172,86000,0.5590062112,4.04030609359e-05,0.016064257,0.000937351,0.2168674699,0.0431034483,0.0740740741
173,86500,0.5484536082,0.0003516951,0.0626262626,0.0006134217,0.1676767677,0.5733333333,0.3734939759
174,87000,0.5871369295,0.0001978924,0.0446247465,0.0006596415,0.1338742394,0.3,0.3333333333
175,87500,0.6417004049,8.27876872131e-05,0.0251937984,0.0005494092,0.1182170543,0.1506849315,0.2131147541
176,88000,0.4849699399,0.0001546958,0.0451866405,0.0010055226,0.2298624754,0.1538461538,0.1965811966
177,88500,0.606,0.0001185712,0.0307692308,0.0004594635,0.125,0.2580645161,0.2461538462
178,89000,0.6412825651,2.28435672515e-05,0.0116959064,0.0005025585,0.1247563353,0.0454545455,0.09375
179,89500,0.6754563895,0.000144868,0.0460921844,0.000466797,0.1402805611,0.3103448276,0.3285714286
180,90000,0.5657620042,0.0001236828,0.0365111562,0.0006101684,0.1744421907,0.2027027027,0.2093023256
